"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"2849.17","11-","19.6 ns 4","661.17 3","E3","","0.0484","B(E3)(W.u.)=19.7 11, α=0.0484, α(K)=0.0299 5, α(L)=0.01378 20, α(M)=0.00355 5, α(N)=0.000915 13, α(O)=0.000183 3, α(P)=1.99E-5 3",
"11-","19.6 ns 4","1292.20 1","E3","","0.00981","B(E3)(W.u.)=3.71 10, α=0.00981, α(K)=0.00749 11, α(L)=0.001751 25, α(M)=0.000427 6, α(N)=0.0001101 16, α(O)=2.26E-5 4, α(P)=2.73E-6 4",
"2910.059","5-","","506.8 2","E1","","0.00998","α=0.00998, α(K)=0.00822 12, α(L)=0.001349 19, α(M)=0.000315 5, α(N)=8.06×10-5 12, α(O)=1.664E-5 24, α(P)=2.07E-6 3",
"5-","","527.4 2","E1","","0.00920","α=0.00920, α(K)=0.00758 11, α(L)=0.001239 18, α(M)=0.000290 4, α(N)=7.41×10-5 11, α(O)=1.530E-5 22, α(P)=1.91E-6 3",
"5-","","1436.70 2","E1","","1.57×10-3","α=1.57×10-3, α(K)=0.001205 17, α(L)=0.000184 3, α(M)=4.25E-5 6, α(N)=1.089E-5 16, α(O)=2.27E-6 4, α(P)=2.93E-7 4",
"5-","","1483.39 2","E1","","1.52×10-3","α=1.52×10-3, α(K)=0.001142 16, α(L)=0.0001737 25, α(M)=4.02E-5 6, α(N)=1.030E-5 15, α(O)=2.15E-6 3, α(P)=2.77E-7 4",
"2999.48","(9)-","","811.51 1","E1","","0.00398","α=0.00398, α(K)=0.00330 5, α(L)=0.000520 8, α(M)=0.0001208 17, α(N)=3.09×10-5 5, α(O)=6.43E-6 9, α(P)=8.15E-7 12",
"(9)-","","1442.60 3","E1+M2","0.18 3","0.00211","α=0.00211 20, α(K)=0.00164 16, α(L)=0.00026 3, α(M)=6.2×10-5 7, α(N)=1.58E-5 18, α(O)=3.3E-6 4, α(P)=4.3E-7 5",
"3016.49","(7)-","","578.01 5","E1+M2","0.25 5","0.021","α=0.021 6, α(K)=0.017 5, α(L)=0.0033 9, α(M)=0.00079 22, α(N)=0.00020 6, α(O)=4.2×10-5 12, α(P)=5.3E-6 16",
"(7)-","","1543.14 2","E1","","1.48×10-3","α=1.48×10-3, α(K)=0.001069 15, α(L)=0.0001624 23, α(M)=3.76E-5 6, α(N)=9.63E-6 14, α(O)=2.01E-6 3, α(P)=2.59E-7 4",
